Source,Link
myocardial infarction,https://medlineplus.gov/ency/article/000195.htm
obesity,https://medlineplus.gov/obesity.html
infection urinary tract,https://medlineplus.gov/urinarytractinfections.html
tachycardia sinus,https://medlineplus.gov/ency/article/000161.htm
gout,https://medlineplus.gov/gout.html
hyperglycemia,https://medlineplus.gov/hyperglycemia.html
diverticulosis,https://medlineplus.gov/ency/article/007668.htm
failure kidney,https://medlineplus.gov/kidneyfailure.html
schizophrenia,https://medlineplus.gov/schizophrenia.html
decubitus ulcer,http://www.skinsight.com/skin-conditions/adult/pressure-ulcer-decubitus-ulcer?Imiw9cApl
encephalopathy,https://medlineplus.gov/ency/article/000302.htm
affect labile,http://www.ndss.org/Resources/Health-Care/Associated-Conditions/Mental-Health-Issues--Down-Syndrome/
carcinoma prostate,https://medlineplus.gov/ency/article/000380.htm
Alzheimer's disease,https://medlineplus.gov/alzheimersdisease.html
incontinence,https://medlineplus.gov/bowelincontinence.html
hyperbilirubinemia,https://medlineplus.gov/ency/article/001196.htm
paroxysmal dyspnea,https://medlineplus.gov/ency/article/003076.htm
bipolar disorder,https://medlineplus.gov/bipolardisorder.html
hepatitis,https://medlineplus.gov/hepatitis.html
pericardial effusion body substance,https://www.cancer.gov/about-cancer/treatment/side-effects/cardiopulmonary-pdq#section/_210
adhesion,https://medlineplus.gov/adhesions.html
biliary calculus,https://medlineplus.gov/ency/article/000273.htm
endocarditis,https://medlineplus.gov/endocarditis.html
acquired immuno-deficiency syndrome,https://medlineplus.gov/hivaids.html
pneumothorax,https://medlineplus.gov/ency/article/000087.htm
accident cerebrovascular,https://medlineplus.gov/ischemicstroke.html
confusion,https://medlineplus.gov/ency/article/003205.htm
candidiasis,https://medlineplus.gov/yeastinfections.html
anxiety state,https://medlineplus.gov/ency/article/000957.htm
cirrhosis,https://medlineplus.gov/cirrhosis.html
pancytopenia,https://medlineplus.gov/ency/article/000334.htm
oral candidiasis,https://medlineplus.gov/ency/article/000626.htm
diverticulitis,https://medlineplus.gov/diverticulosisanddiverticulitis.html
spasm bronchial,http://www.webmd.com/asthma/guide/bronchial-asthma#1
ulcer peptic,http://www.webmd.com/digestive-disorders/digestive-diseases-peptic-ulcer-disease#1
depression mental,http://www.webmd.com/depression/mental-health-depression#1
emphysema pulmonary,http://www.webmd.com/lung/emphysema
hypoglycemia,https://medlineplus.gov/hypoglycemia.html
dependence,https://medlineplus.gov/alcoholismandalcoholabuse.html
osteomyelitis,https://medlineplus.gov/ency/article/000437.htm
hemorrhoids,https://medlineplus.gov/hemorrhoids.html
primary carcinoma of the liver cells,https://medlineplus.gov/ency/article/000280.htm
pyelonephritis,https://medlineplus.gov/ency/article/000521.htm
pancreatitis,https://medlineplus.gov/pancreatitis.html
cholelithiasis,https://medlineplus.gov/gallstones.html
cardiomyopathy,https://medlineplus.gov/ency/article/001105.htm
Pneumocystis carinii pneumonia,https://medlineplus.gov/ency/article/000671.htm
carcinoma colon,https://medlineplus.gov/ency/article/000262.htm
edema pulmonary,https://medlineplus.gov/ency/article/000140.htm
carcinoma breast,https://medlineplus.gov/ency/article/000913.htm
hemiparesis,http://www.webmd.com/stroke/tc/stroke-common-disabilities-topic-overview
mitral valve insufficiency,https://medlineplus.gov/ency/article/000176.htm
peripheral vascular disease,https://medlineplus.gov/peripheralarterialdisease.html
tonic-clonic seizures,https://medlineplus.gov/ency/article/000695.htm
effusion pericardial,https://medlineplus.gov/pericardialdisorders.html
thrombocytopaenia,https://medlineplus.gov/ency/article/000586.htm
adenocarcinoma,https://medlineplus.gov/ency/imagepages/18014.htm
failure heart congestive,https://medlineplus.gov/heartfailure.html
exanthema,http://linkedlifedata.com/resource/umls/id/C0015230
ischemia,https://medlineplus.gov/ency/article/001156.htm
hypertension pulmonary,https://medlineplus.gov/pulmonaryhypertension.html
infection,https://medlineplus.gov/infections.html
cellulitis,https://medlineplus.gov/cellulitis.html
lymphatic diseases,https://medlineplus.gov/lymphaticdiseases.html
gastroenteritis,https://medlineplus.gov/gastroenteritis.html
parkinson disease,https://medlineplus.gov/parkinsonsdisease.html
hernia,https://medlineplus.gov/hernia.html
kidney disease,https://medlineplus.gov/kidneydiseases.html
colitis,https://medlineplus.gov/ency/article/001125.htm
deep vein thrombosis,https://medlineplus.gov/deepveinthrombosis.html
personality disorder,https://medlineplus.gov/personalitydisorders.html
hyperlipidemia,https://medlineplus.gov/cholesterol.html
pneumonia,https://medlineplus.gov/ency/article/000145.htm
gastroesophageal reflux disease,https://medlineplus.gov/gerd.html
pneumonia aspiration,https://medlineplus.gov/ency/article/000121.htm
stenosis aortic valve,https://medlineplus.gov/ency/article/000178.htm
hypertensive disease,https://medlineplus.gov/ency/article/000163.htm
glaucoma,https://medlineplus.gov/glaucoma.html
septicemia,https://medlineplus.gov/ency/article/001355.htm
bronchitis,https://medlineplus.gov/ency/article/001087.htm
delusion,http://www.webmd.com/schizophrenia/guide/delusional-disorder#1
upper respiratory infection,https://medlineplus.gov/ency/article/001385.htm
dementia,https://medlineplus.gov/dementia.html
ketoacidosis diabetic ,https://medlineplus.gov/ency/article/000320.htm
manic disorder,https://medlineplus.gov/bipolardisorder.html
suicide attempt,https://medlineplus.gov/suicide.html
hiv infections,https://medlineplus.gov/hivaidsandinfections.html
benign prostatic hypertrophy,https://medlineplus.gov/ency/article/000381.htm
HIV,https://medlineplus.gov/ency/article/000594.htm
bacteremia,http://emedicine.medscape.com/article/961169-overview
neutropenia,https://medlineplus.gov/ency/article/007230.htm
hepatitis B,https://medlineplus.gov/ency/article/000279.htm
hepatitis C,https://medlineplus.gov/hepatitisc.html
coronary heart disease,https://medlineplus.gov/coronaryarterydisease.html
carcinoma of lung,https://medlineplus.gov/lungcancer.html
arthritis,https://medlineplus.gov/arthritis.html
malignant neoplasm of lung,http://www.webmd.com/lung-cancer/default.htm
carcinoma,https://medlineplus.gov/cancer.html
delirium,https://medlineplus.gov/ency/article/000740.htm
melanoma,https://medlineplus.gov/melanoma.html
kidney failure acute,https://medlineplus.gov/ency/article/000501.htm
diabetes,https://medlineplus.gov/ency/article/001214.htm
systemic infection,https://medlineplus.gov/ency/article/002294.htm
malignant neoplasms,https://medlineplus.gov/cancer.html
neuropathy,https://medlineplus.gov/ency/article/000593.htm
overload fluid,https://medlineplus.gov/ency/article/001187.htm
migraine disorders,https://medlineplus.gov/migraine.html
